trials,acc,nmi,ari
usps,,,
0,0.69692,0.67976,0.57756
1,0.70026,0.67527,0.57742
2,0.71284,0.68219,0.58093
3,0.70918,0.68225,0.58835
4,0.69628,0.67424,0.58408
5,0.70951,0.6956,0.59208
6,0.71843,0.68608,0.59663
7,0.70757,0.67664,0.57679
8,0.70886,0.68565,0.59036
9,0.72607,0.70257,0.61552
 ,0.708592,0.684025,0.587972
0,0.76307,0.78514,0.70611
1,0.75436,0.77834,0.69173
2,0.76866,0.78845,0.71095
3,0.76834,0.79371,0.71447
4,0.75113,0.77742,0.68881
5,0.76812,0.79082,0.71266
6,0.76371,0.78442,0.70796
7,0.76758,0.79166,0.71471
8,0.76425,0.78626,0.70484
9,0.76715,0.79185,0.71288
 ,0.763637,0.786807,0.706512
reuters10k,,,
0,0.6867,0.46953,0.51413
1,0.7074,0.51145,0.55402
2,0.7655,0.50372,0.56937
3,0.8082,0.55415,0.60496
4,0.7689,0.50594,0.56953
5,0.6948,0.48479,0.53484
6,0.7939,0.52471,0.58846
7,0.8046,0.56142,0.62313
8,0.8082,0.54316,0.59146
9,0.7944,0.5317,0.58142
 ,0.76326,0.519057,0.573132
0,0.6906,0.50772,0.53449
1,0.6979,0.53028,0.54898
2,0.8019,0.59529,0.62846
3,0.8267,0.61264,0.64068
4,0.7939,0.57165,0.60728
5,0.6868,0.49225,0.51598
6,0.8196,0.58679,0.63395
7,0.8256,0.6267,0.65291
8,0.8241,0.60336,0.62274
9,0.8093,0.57889,0.61196
 ,0.77764,0.570557,0.599743
stl,,,
0,0.75608,0.72837,0.64459
1,0.67662,0.69153,0.54875
2,0.82831,0.73646,0.66266
3,0.71292,0.69461,0.57355
4,0.85077,0.75636,0.70705
5,0.83185,0.73857,0.67284
6,0.81631,0.72714,0.65285
7,0.85154,0.75519,0.70529
8,0.81685,0.72219,0.64611
9,0.71431,0.6965,0.5773
 ,0.785556,0.724692,0.639099
0,0.81185,0.80872,0.74613
1,0.81331,0.81541,0.75275
2,0.90708,0.83733,0.81221
3,0.78677,0.78927,0.70601
4,0.90062,0.83042,0.80313
5,0.91731,0.84499,0.83033
6,0.91708,0.8426,0.82996
7,0.89346,0.82618,0.79295
8,0.84108,0.805,0.75098
9,0.80577,0.80444,0.73497
 ,0.859433,0.820436,0.775942
mnist,,,
0,0.91663,0.82496,0.82329
1,0.91716,0.82611,0.82342
2,0.80653,0.78559,0.7286
3,0.85949,0.78998,0.75407
4,0.9213,0.83411,0.83267
5,0.91911,0.83025,0.82809
6,0.86416,0.79247,0.75804
7,0.86767,0.79642,0.76338
8,0.8652,0.79426,0.76142
9,0.85534,0.7967,0.76159
 ,0.879259,0.807085,0.783457
0,0.96237,0.90552,0.91904
1,0.96284,0.90565,0.91999
